安道尔	42.5	1.5
阿拉伯联合酋长国	24	54
阿富汗	33	65
安提瓜和巴布达	17.05	-61.8
安圭拉	18.25	-63.1667
阿尔巴尼亚	41	20
亚美尼亚	40	45
荷属安地列斯	12.25	-68.75
安哥拉	-12.5	18.5
南极洲	-90	0
阿根廷	-34	-64
美属萨摩亚	-14.3333	-170
奥地利	47.3333	13.3333
澳大利亚	-27	133
阿鲁巴	12.5	-69.9667
阿塞拜疆	40.5	47.5
波斯尼亚和黑塞哥维那	44	18
巴巴多斯	13.1667	-59.5333
孟加拉	24	90
比利时	50.8333	4
布基纳法索	13	-2
保加利亚	43	25
巴林	26	50.55
布隆迪	-3.5	30
贝宁	9.5	2.25
百慕大	32.3333	-64.75
文莱	4.5	114.6667
玻利维亚	-17	-65
巴西	-10	-55
巴哈马	24.25	-76
不丹	27.5	90.5
布维岛	-54.4333	3.4
博茨瓦纳	-22	24
白俄罗斯	53	28
伯利兹	17.25	-88.75
加拿大	60	-95
科科斯（基林）群岛	-12.5	96.8333
刚果	0	25
中非共和国	7	21
刚果	-1	15
瑞士	47	8
科特迪瓦	8	-5
库克群岛	-21.2333	-159.7667
智利	-30	-71
喀麦隆	6	12
中国	35	105
哥伦比亚	4	-72
哥斯达黎加	10	-84
古巴	21.5	-80
佛得角	16	-24
圣诞岛	-10.5	105.6667
塞浦路斯	35	33
捷克共和国	49.75	15.5
德国	51	9
吉布提	11.5	43
丹麦	56	10
多米尼克	15.4167	-61.3333
多米尼加共和国	19	-70.6667
阿尔及利亚	28	3
厄瓜多尔	-2	-77.5
爱沙尼亚	59	26
埃及	27	30
西撒哈拉	24.5	-13
厄立特里亚	15	39
西班牙	40	-4
埃塞俄比亚	8	38
芬兰	64	26
斐济	-18	175
马尔维纳斯群岛	-51.75	-59
密克罗尼西亚	6.9167	158.25
法罗群岛	62	-7
法国	46	2
加蓬	-1	11.75
英国	54	-2
格林纳达	12.1167	-61.6667
格鲁吉亚	42	43.5
法属圭亚那	4	-53
加纳	8	-2
直布罗陀	36.1833	-5.3667
格陵兰岛	72	-40
冈比亚	13.4667	-16.5667
几内亚	11	-10
瓜德罗普岛	16.25	-61.5833
赤道几内亚	2	10
希腊	39	22
南乔治亚岛和南桑威奇群岛	-54.5	-37
危地马拉	15.5	-90.25
关岛	13.4667	144.7833
几内亚比绍	12	-15
圭亚那	5	-59
赫德岛和麦当劳群岛	-53.1	72.5167
洪都拉斯	15	-86.5
克罗地亚	45.1667	15.5
海地	19	-72.4167
匈牙利	47	20
印度尼西亚	-5	120
爱尔兰	53	-8
以色列	31.5	34.75
印度	20	77
英属印度洋领地	-6	71.5
伊拉克	33	44
伊朗	32	53
冰岛	65	-18
意大利	42.8333	12.8333
牙买加	18.25	-77.5
乔丹	31	36
日本	36	138
肯尼亚	1	38
吉尔吉斯斯坦	41	75
柬埔寨	13	105
基里巴斯	1.4167	173
科摩罗	-12.1667	44.25
圣基茨和尼维斯	17.3333	-62.75
朝鲜	40	127
韩国	37	127.5
科威特	29.3375	47.6581
开曼群岛	19.5	-80.5
哈萨克斯坦	48	68
老挝	18	105
黎巴嫩	33.8333	35.8333
圣露西亚	13.8833	-61.1333
列支敦士登	47.1667	9.5333
斯里兰卡	7	81
利比里亚	6.5	-9.5
莱索托	-29.5	28.5
立陶宛	56	24
卢森堡	49.75	6.1667
拉脱维亚	57	25
阿拉伯利比亚民众国	25	17
摩洛哥	32	-5
摩纳哥	43.7333	7.4
摩尔多瓦	47	29
黑山	42	19
马达加斯加	-20	47
马绍尔群岛	9	168
马其顿	41.8333	22
马里	17	-4
缅甸	22	98
蒙古	46	105
北马里亚纳群岛	15.2	145.75
马提尼克岛	14.6667	-61
毛里塔尼亚	20	-12
蒙特塞拉特	16.75	-62.2
马耳他	35.8333	14.5833
毛里求斯	-20.2833	57.55
马尔代夫	3.25	73
马拉维	-13.5	34
墨西哥	23	-102
马来西亚	2.5	112.5
莫桑比克	-18.25	35
纳米比亚	-22	17
新喀里多尼亚	-21.5	165.5
尼日尔	16	8
诺福克岛	-29.0333	167.95
尼日利亚	10	8
尼加拉瓜	13	-85
荷兰	52.5	5.75
挪威	62	10
尼泊尔	28	84
瑙鲁	-0.5333	166.9167
纽埃	-19.0333	-169.8667
新西兰	-41	174
阿曼	21	57
巴拿马	9	-80
秘鲁	-10	-76
法属波利尼西亚	-15	-140
巴布亚新几内亚	-6	147
菲律宾	13	122
巴基斯坦	30	70
波兰	52	20
圣皮埃尔和密克隆岛	46.8333	-56.3333
波多黎各	18.25	-66.5
葡萄牙	39.5	-8
帕劳	7.5	134.5
巴拉圭	-23	-58
卡塔尔	25.5	51.25
留尼旺岛	-21.1	55.6
罗马尼亚	46	25
塞尔维亚	44	21
俄罗斯	60	100
卢旺达	-2	30
沙特阿拉伯	25	45
所罗门群岛	-8	159
塞舌尔	-4.5833	55.6667
苏丹	15	30
瑞典	62	15
新加坡	1.3667	103.8
斯洛文尼亚	46	15
斯洛伐克	48.6667	19.5
塞拉利昂	8.5	-11.5
圣马力诺	43.7667	12.4167
塞内加尔	14	-14
索马里	10	49
苏里南	4	-56
圣多美和普林西比	1	7
萨尔瓦多	13.8333	-88.9167
叙利亚	35	38
斯威士兰	-26.5	31.5
特克斯和凯科斯群岛	21.75	-71.5833
乍得	15	19
多哥	8	1.1667
泰国	15	100
塔吉克斯坦	39	71
托克劳	-9	-172
土库曼斯坦	40	60
突尼斯	34	9
汤加	-20	-175
土耳其	39	35
